sentence,attribute,entity,entity_offset,attribute_value,attribute_value_offset
"Steven Universe S01 1080p GBR Blu-ray AVC DD 2.0-AdBlue 
",Season,Steven Universe,0,S01,15
"24 S05 1080p JPN Blu-ray AVC DD 5.1-COASTER 
",Res,24,0,1080p,6
"Cursed 2020 S01 2160p NF WEBRip DDP5.1 x265-TOMMY
",Season,Cursed,0,S01,11
"Supernatural S04 1080p BluRay REMUX VC-1 DD 5.1-EPSiLON 
",Res,Supernatural,0,1080p,16
"The Tudors S02 BluRay 1080p TrueHD 5.1 AVC REMUX-FraMeSToR
",Res,The Tudors,0,1080p,21
"Ascension S01 Complete 1080p BluRay DualAudio DTS-HD MA 5.1 x265 10bit-monster6688
",Codex,Ascension,0,x265,59
"Hightown S01 2020 1080p WEB-DL x265 AC3锟cXcY@FRDS
",Codex,Hightown,0,x265,30
"Everybody Hates Chris S01 1080p PCOK WEB-DL DDP5.1 x264-AlfaHD 
",Season,Everybody Hates Chris,0,S01,21
"The Outsider 2020 S01 1080p BluRay Remux DTS-HD MA5.1 H264-PmP 
",Season,The Outsider,0,S01,17
"Westworld S02 2160p UHD BluRay HEVC Atmos TrueHD 7.1-DiY@HDHome 
",Season,Westworld,0,S02,9
"Six Feet Under S01-S05 2001-2005 1080p WEB-DL x265 AC3锟cXcY@FRDS 
",Codex,Six Feet Under,0,x265,45
The Big Bang Theory S01-S12 2007-2018 BluRay 1080p Remux DTS-HD MA5 1 AVC-Gamma ,Season,The Big Bang Theory,0,S01-S12,19
"Under The Dome S01 2013 BluRay 1080p x265 10bit 2Audio MNHD-FRDS
",Year,Under The Dome,0,2013,18
"Supernatural S07 1080p BluRay REMUX AVC DTS-HD MA 5.1-EPSiLON 
",Season,Supernatural,0,S07,12
"Ascension S01 Complete 1080p BluRay DualAudio DTS-HD MA 5.1 x265 10bit-monster6688
",Res,Ascension,0,1080p,22
"Senke nad Balkanom S01 1080p AMZN WEB-DL DDP2.0 H264-MZABI
",Res,Senke nad Balkanom,0,1080p,22
"The Hunt 2015 S01 2160p WEB-DL AAC 5.1 H.265-PETRiFiED 
",Season,The Hunt,0,S01,13
"Hawaii Five-0 S06 1080p GER Blu-ray AVC DTS-HD MA 5 1-NOGRP 
",Season,Hawaii Five-0,0,S06,13
"Twin Peaks S01-S03 1990-2017 1080p Blu-ray x265 AC3锟cXcY@FRDS
",Res,Twin Peaks,0,1080p,28
"Six Feet Under S01-05 2001-2005 1080p WEB-DL x265 AC3锟cXcY@FRDS
",Year,Six Feet Under,0,2001-2005,21
"Cursed 2020 S01 2160p NF WEBRip DDP5.1 x265-TOMMY
",Res,Cursed,0,2160p,15
"Under The Dome S01 2013 BluRay 1080p x265 10bit 2Audio MNHD-FRDS
",Res,Under The Dome,0,1080p,30
"The Hunt 2015 S01 2160p WEB-DL AAC 5.1 H.265-PETRiFiED 
",Year,The Hunt,0,2015,8
"Snowpiercer S01 2020 1080p WEB-DL x265 AC3锟cXcY@FRDS
",Res,Snowpiercer,0,1080p,20
The Big Bang Theory S01-S12 2007-2018 BluRay 1080p Remux DTS-HD MA5 1 AVC-Gamma ,Year,The Big Bang Theory,0,2007-2018,27
"Gangs of London S01 1080p AMZN WEB-DL DDP5.1 H264-NTb  
",Season,Gangs of London,0,S01,15
"Snowpiercer S01 2020 1080p WEB-DL x265 AC3锟cXcY@FRDS
",Codex,Snowpiercer,0,x265,33
"Senke nad Balkanom S01 1080p AMZN WEB-DL DDP2.0 H264-MZABI
",Codex,Senke nad Balkanom,0,"H264-MZABI
",47
"Friends S01-S10 1080p NF WEB-DL DDP5 1 x264-TJUPT
",Res,Friends,0,1080p,15
"2 Broke Girls S01-S06 1080p WEB-DL AAC DD5.1 H264-Mixed 
",Codex,2 Broke Girls,0,H264-Mixed,44
"Hawaii Five-0 S02 1080p Blu-ray AVC DD5.1-GNR 
",Season,Hawaii Five-0,0,S02,13
"Snowpiercer S01 2020 1080p WEB-DL x265 AC3锟cXcY@FRDS
",Year,Snowpiercer,0,2020,15
"Supernatural S10 1080p BluRay REMUX AVC DTS-HD MA 5.1-EPSiLON
",Res,Supernatural,0,1080p,16
"Warrior Nun S01 2160p NF WEBRip DDP5.1 x265-TOMMY
",Season,Warrior Nun,0,S01,11
"Normal People S01 2160p HULU WEB-DL DDP 5 1 H 265-NTb
",Codex,Normal People,0,"265-NTb
",45
"Everybody Hates Chris S01 1080p PCOK WEB-DL DDP5.1 x264-AlfaHD 
",Codex,Everybody Hates Chris,0,x264-AlfaHD,50
"The Adventures of Sherlock Holmes 1984-1994 Disc3 1080p Blu-ray AVC LPCM 2.0-DIY@Ryu 
",Res,The Adventures of Sherlock Holmes,0,1080p,49
"Supernatural S05 1080p BluRay REMUX VC-1 DD 5.1-EPSiLON 
",Res,Supernatural,0,1080p,16
"Gangs Of London 2020 S01 1080p BluRay x264-SHORTBREHD
",Year,Gangs Of London,0,2020,15
"Gangs Of London 2020 S01 1080p BluRay x264-SHORTBREHD
",Res,Gangs Of London,0,1080p,24
"The Bureau S01-S05 2015-2020 1080p Blu-ray x265 AC3锟cXcY@FRDS
",Codex,The Bureau,0,x265,42
"Hightown S01 2020 1080p WEB-DL x265 AC3锟cXcY@FRDS
",Season,Hightown,0,S01,8
"Supernatural S06 1080p BluRay REMUX AVC DTS-HD MA 5.1-EPSiLON 
",Res,Supernatural,0,1080p,16
"Monk S01-S08 COMPLETE 1080p AMZN WEB-DL x264-AJP69 
",Res,Monk,0,1080p,21
"Blindspot S05 1080p AMZN WEB-DL DDP5.1 H264-NTb
",Res,Blindspot,0,1080p,13
"The Big Bang Theory S01-12 2007-2018 Bluray Pad 1080p x265-10bit AAC-Gamma 
",Season,The Big Bang Theory,0,S01-12,19
The Big Bang Theory S01-S12 2007-2018 BluRay 1080p Remux DTS-HD MA5 1 AVC-Gamma ,Res,The Big Bang Theory,0,1080p,44
"The Outsider 2020 S01 1080p BluRay Remux DTS-HD MA5.1 H264-PmP 
",Codex,The Outsider,0,H264-PmP,53
"24 S04 1080p JPN Blu-ray AVC DD 5.1-COASTER 
",Res,24,0,1080p,6
"Twin Peaks S01-S03 1990-2017 1080p Blu-ray x265 AC3锟cXcY@FRDS
",Codex,Twin Peaks,0,x265,42
"Six Feet Under S01-S05 2001-2005 1080p WEB-DL x265 AC3锟cXcY@FRDS 
",Season,Six Feet Under,0,S01-S05,14
"Monk S01-S08 COMPLETE 1080p AMZN WEB-DL x264-AJP69 
",Season,Monk,0,S01-S08,4
"The Bureau S01-S05 2015-2020 1080p Blu-ray x265 AC3锟cXcY@FRDS
",Res,The Bureau,0,1080p,28
"The Bureau S01-S05 2015-2020 1080p Blu-ray x265 AC3锟cXcY@FRDS
",Season,The Bureau,0,S01-S05,10
"24 S04 1080p JPN Blu-ray AVC DD 5.1-COASTER 
",Season,24,0,S04,2
"The Tudors S02 BluRay 1080p TrueHD 5.1 AVC REMUX-FraMeSToR
",Season,The Tudors,0,S02,10
"Under The Dome S01 2013 BluRay 1080p x265 10bit 2Audio MNHD-FRDS
",Season,Under The Dome,0,S01,14
"2 Broke Girls S01-S06 1080p WEB-DL AAC DD5.1 H264-Mixed 
",Res,2 Broke Girls,0,1080p,21
"Motherland Fort Salem S01 1080p AMZN WEB-DL DDP5.1 H 264-NTG
",Codex,Motherland Fort Salem,0,"264-NTG
",52
"The Outsider 2020 S01 1080p BluRay Remux DTS-HD MA5.1 H264-PmP 
",Res,The Outsider,0,1080p,21
"Gangs of London S01 1080p AMZN WEB-DL DDP5.1 H264-NTb  
",Codex,Gangs of London,0,H264-NTb,44
"Supernatural S06 1080p BluRay REMUX AVC DTS-HD MA 5.1-EPSiLON 
",Season,Supernatural,0,S06,12
"Supernatural S04 1080p BluRay REMUX VC-1 DD 5.1-EPSiLON 
",Season,Supernatural,0,S04,12
"The X-Files S05 1080p Blu-ray AVC DTS-HD MA 5.1-jimsong 
",Season,The X-Files,0,S05,11
"The Hunt 2015 S01 2160p WEB-DL AAC 5.1 H.265-PETRiFiED 
",Codex,The Hunt,0,H.265-PETRiFiED,38
"McMafia 2018 S01 GER Blu-ray 1080i AVC DTS-HD MA 5.1 
",Year,McMafia,0,2018,7
"The Big Bang Theory S01-12 2007-2018 Bluray Pad 1080p x265-10bit AAC-Gamma 
",Res,The Big Bang Theory,0,1080p,47
"Six Feet Under S01-05 2001-2005 1080p WEB-DL x265 AC3锟cXcY@FRDS
",Season,Six Feet Under,0,S01-05,14
"The Umbrella Academy S02 1080p NF WEB-DL DDP5.1 x264-NTG 
",Codex,The Umbrella Academy,0,x264-NTG,47
