sentence,attribute,entity,entity_offset,attribute_value,attribute_value_offset
"Twin Peaks S01-S03 1990-2017 1080p Blu-ray x265 AC3ï¿cXcY@FRDS
",Season,Twin Peaks,0,S01-S03,10
"Twin Peaks S01-S03 1990-2017 1080p Blu-ray x265 AC3ï¿cXcY@FRDS
",Year,Twin Peaks,0,1990-2017,18
"Twin Peaks S01-S03 1990-2017 1080p Blu-ray x265 AC3ï¿cXcY@FRDS
",Codex,Twin Peaks,0,x265,42
"Twin Peaks S01-S03 1990-2017 1080p Blu-ray x265 AC3ï¿cXcY@FRDS
",Res,Twin Peaks,0,1080p,28
"The Umbrella Academy S02 1080p NF WEB-DL DDP5.1 x264-NTG 
",Season,The Umbrella Academy,0,S02,20
"The Umbrella Academy S02 1080p NF WEB-DL DDP5.1 x264-NTG 
",Codex,The Umbrella Academy,0,x264-NTG,47
"The Umbrella Academy S02 1080p NF WEB-DL DDP5.1 x264-NTG 
",Res,The Umbrella Academy,0,1080p,24
"Six Feet Under S01-05 2001-2005 1080p WEB-DL x265 AC3ï¿cXcY@FRDS
",Season,Six Feet Under,0,S01-05,14
"Six Feet Under S01-05 2001-2005 1080p WEB-DL x265 AC3ï¿cXcY@FRDS
",Year,Six Feet Under,0,2001-2005,21
"Six Feet Under S01-05 2001-2005 1080p WEB-DL x265 AC3ï¿cXcY@FRDS
",Codex,Six Feet Under,0,x265,44
"Six Feet Under S01-05 2001-2005 1080p WEB-DL x265 AC3ï¿cXcY@FRDS
",Res,Six Feet Under,0,1080p,31
"24 S04 1080p JPN Blu-ray AVC DD 5.1-COASTER 
",Season,24,0,S04,2
"24 S04 1080p JPN Blu-ray AVC DD 5.1-COASTER 
",Res,24,0,1080p,6
"Hawaii Five-0 S06 1080p GER Blu-ray AVC DTS-HD MA 5 1-NOGRP 
",Season,Hawaii Five-0,0,S06,13
"Hawaii Five-0 S06 1080p GER Blu-ray AVC DTS-HD MA 5 1-NOGRP 
",Res,Hawaii Five-0,0,1080p,17
"Into the Badlands S03 1080p BluRay REMUX AVC TrueHD 5 1-EPSiLON 
",Season,Into the Badlands,0,S03,17
"Into the Badlands S03 1080p BluRay REMUX AVC TrueHD 5 1-EPSiLON 
",Res,Into the Badlands,0,1080p,21
