sentence	attribute	entity	entity_offset	attribute_value	attribute_value_offset
"Friends S01-S10 1080p NF WEB-DL DDP5 1 x264-TJUPT
"	Codex	Friends	0	"x264-TJUPT
"	38
"Supernatural S09 1080p BluRay REMUX AVC DTS-HD MA 5.1-EPSiLON 
"	Season	Supernatural	0	S09	12
"The Tudors S02 BluRay 1080p TrueHD 5.1 AVC REMUX-FraMeSToR
"	Season	The Tudors	0	S02	10
"Twin Peaks S01-S03 1990-2017 1080p Blu-ray x265 AC3锟cXcY@FRDS
"	Res	Twin Peaks	0	1080p	28
"Under The Dome S01 2013 BluRay 1080p x265 10bit 2Audio MNHD-FRDS
"	Year	Under The Dome	0	2013	18
"2 Broke Girls S01-S06 1080p WEB-DL AAC DD5.1 H264-Mixed 
"	Res	2 Broke Girls	0	1080p	21
"Snowpiercer S01 2020 1080p WEB-DL x265 AC3锟cXcY@FRDS
"	Codex	Snowpiercer	0	x265	33
"Game of Thrones S01 2160p UHD BluRay HEVC Atmos TrueHD 7.1-DiY@HDHome 
"	Codex	Game of Thrones	0	HEVC	36
"Twin Peaks S01-S03 1990-2017 1080p Blu-ray x265 AC3锟cXcY@FRDS
"	Year	Twin Peaks	0	1990-2017	18
"Motherland Fort Salem S01 1080p AMZN WEB-DL DDP5.1 H 264-NTG
"	Res	Motherland Fort Salem	0	1080p	25
"24 S04 1080p JPN Blu-ray AVC DD 5.1-COASTER 
"	Season	24	0	S04	2
"Hightown S01 2020 1080p WEB-DL x265 AC3锟cXcY@FRDS
"	Season	Hightown	0	S01	8
"The Tudors S02 BluRay 1080p TrueHD 5.1 AVC REMUX-FraMeSToR
"	Res	The Tudors	0	1080p	21
"Ascension S01 Complete 1080p BluRay DualAudio DTS-HD MA 5.1 x265 10bit-monster6688
"	Res	Ascension	0	1080p	22
"Supernatural S08 1080p BluRay REMUX AVC DTS-HD MA 5.1-EPSiLON
"	Season	Supernatural	0	S08	12
"Game of Thrones S01 2160p UHD BluRay HEVC Atmos TrueHD 7.1-DiY@HDHome 
"	Res	Game of Thrones	0	2160p	19
"McMafia 2018 S01 GER Blu-ray 1080i AVC DTS-HD MA 5.1 
"	Season	McMafia	0	S01	12
"2 Broke Girls S01-S06 1080p WEB-DL AAC DD5.1 H264-Mixed 
"	Codex	2 Broke Girls	0	H264-Mixed	44
"Normal People S01 2160p HULU WEB-DL DDP 5 1 H 265-NTb
"	Codex	Normal People	0	"265-NTb
"	45
"Snowpiercer S01 2020 1080p WEB-DL x265 AC3锟cXcY@FRDS
"	Res	Snowpiercer	0	1080p	20
"Game of Thrones S01 2160p UHD BluRay HEVC Atmos TrueHD 7.1-DiY@HDHome 
"	Season	Game of Thrones	0	S01	15
"The Umbrella Academy S02 1080p NF WEB-DL DDP5.1 x264-NTG 
"	Res	The Umbrella Academy	0	1080p	24
"The Umbrella Academy S02 1080p NF WEB-DL DDP5.1 x264-NTG 
"	Codex	The Umbrella Academy	0	x264-NTG	47
"Supernatural S06 1080p BluRay REMUX AVC DTS-HD MA 5.1-EPSiLON 
"	Res	Supernatural	0	1080p	16
